Tvöfaldanir,h,n,Error
0,0,400,0.0417529909561987
1,0,800,8.7311138402546e-05
2,0,1600,0.000478085928393157
3,0,3200,4.98440149154789e-08
4,0,6400,6.58074483794735e-10
5,0,12800,4.9382720135327e-12
6,0,25600,1.99782412835248e-11
7,0,51200,2.01616501271928e-13
8,0,102400,3.99680288865056e-15
