-0.4897,-1.5072
-0.489,-1.5081
-0.4869,-1.5109
-0.4833,-1.5154
-0.4782,-1.5217
-0.4718,-1.5297
-0.4639,-1.5394
-0.4547,-1.5507
-0.444,-1.5636
-0.432,-1.5779
-0.4187,-1.5936
-0.404,-1.6106
-0.3881,-1.6286
-0.3709,-1.6478
-0.3526,-1.6678
-0.333,-1.6886
-0.3124,-1.71
-0.2907,-1.7318
-0.2679,-1.754
-0.2443,-1.7763
-0.2198,-1.7987
-0.1945,-1.8208
-0.1685,-1.8426
-0.1419,-1.8639
-0.1148,-1.8846
-0.0872,-1.9045
-0.0593,-1.9234
-0.0312,-1.9412
-0.003,-1.9577
0.0253,-1.9729
0.0534,-1.9866
0.0814,-1.9986
0.109,-2.009
0.1362,-2.0175
0.1628,-2.0242
0.1888,-2.0289
0.214,-2.0317
0.2383,-2.0325
0.2617,-2.0312
0.284,-2.0279
0.3051,-2.0226
0.325,-2.0153
0.3436,-2.0061
0.3608,-1.9949
0.3765,-1.982
0.3907,-1.9674
0.4034,-1.9512
0.4144,-1.9335
0.4238,-1.9144
0.4316,-1.8941
0.4377,-1.8727
0.4421,-1.8504
0.4449,-1.8274
0.446,-1.8038
0.4454,-1.7799
0.4432,-1.7557
0.4395,-1.7315
0.4342,-1.7075
0.4274,-1.6839
0.4192,-1.6608
0.4096,-1.6385
0.3986,-1.6171
0.3864,-1.5968
0.373,-1.5778
0.3584,-1.5602
0.3428,-1.5442
0.3262,-1.5299
0.3086,-1.5175
0.2901,-1.5071
0.2709,-1.4987
0.2509,-1.4925
0.2302,-1.4885
0.2089,-1.4867
0.187,-1.4873
0.1647,-1.4902
0.1419,-1.4953
0.1188,-1.5028
0.0953,-1.5124
0.0715,-1.5242
0.0476,-1.5381
0.0235,-1.5539
-0.0006,-1.5716
-0.0247,-1.591
-0.0488,-1.6119
-0.0727,-1.6342
-0.0964,-1.6577
-0.1198,-1.6822
-0.1427,-1.7075
-0.1653,-1.7333
-0.1872,-1.7596
-0.2085,-1.786
-0.2291,-1.8123
-0.2488,-1.8383
-0.2677,-1.8639
-0.2855,-1.8887
-0.3022,-1.9127
-0.3178,-1.9355
-0.3322,-1.957
-0.3452,-1.977
-0.3568,-1.9954
